"Model","Covariate","Sample_Size","n_sims","true_effect","mean_estimate","bias","rmse_estimate","mean_SE","empirical_SE","power_or_type_I","coverage","mean_RMSE_data","mean_RMSE_latent","effect_type","performance_metric"
"Covariate_Only","false_1",200,50,0,-0.0734225779117,-0.0734225779117,0.358254865864912,0.109957901821076,0.354210351962552,0.46,0.54,0.247332527890241,0.152937712527859,"No Effect","Type I Error"
"Covariate_Only","false_2",200,50,0,0.00725415842124551,0.00725415842124551,0.334253819063733,0.115821465148714,0.337567820463594,0.58,0.42,0.247332527890241,0.152937712527859,"No Effect","Type I Error"
"Covariate_Only","false_3",200,50,0,0.00338761140374334,0.00338761140374334,0.309296570514717,0.112343234417303,0.312417977188499,0.5,0.5,0.247332527890241,0.152937712527859,"No Effect","Type I Error"
"Covariate_Only","real",200,50,1,0.974180625537889,-0.0258193744621112,0.369972911788385,0.111924213502383,0.372817889777741,1,0.38,0.247332527890241,0.152937712527859,"Real Effect","Power"
"VAST_Normal","false_1",200,50,0,0.0327916135168126,0.0327916135168126,0.173435009055479,0.186757723505853,0.17203586612597,0.04,0.96,0.270717801919491,0.186985526712578,"No Effect","Type I Error"
"VAST_Normal","false_2",200,50,0,0.0205451789088943,0.0205451789088943,0.177323867638148,0.190909748036307,0.177917802787488,0.02,0.98,0.270717801919491,0.186985526712578,"No Effect","Type I Error"
"VAST_Normal","false_3",200,50,0,-0.025521306393874,-0.025521306393874,0.195789441547297,0.187606629317488,0.196089755431163,0.02,0.98,0.270717801919491,0.186985526712578,"No Effect","Type I Error"
"VAST_Normal","real",200,50,1,1.00995250027706,0.0099525002770566,0.192638529867442,0.188164342688766,0.194334423851248,1,0.9,0.270717801919491,0.186985526712578,"Real Effect","Power"
"VAST_RSR","false_1",200,50,0,-0.0734225779122434,-0.0734225779122434,0.358254865866426,0.0865342912482129,0.354210351963999,0.54,0.46,0.247332527890241,0.152937712527836,"No Effect","Type I Error"
"VAST_RSR","false_2",200,50,0,0.00725415842117314,0.00725415842117314,0.334253819063666,0.0900144905971131,0.337567820463528,0.68,0.32,0.247332527890241,0.152937712527836,"No Effect","Type I Error"
"VAST_RSR","false_3",200,50,0,0.00338761140400887,0.00338761140400887,0.309296570514851,0.0881336748938673,0.312417977188632,0.58,0.42,0.247332527890241,0.152937712527836,"No Effect","Type I Error"
"VAST_RSR","real",200,50,1,0.974180625537612,-0.0258193744623881,0.369972911788512,0.0874115182793914,0.37281788977785,1,0.36,0.247332527890241,0.152937712527836,"Real Effect","Power"
"VAST_Selected","false_1",200,4,0,0.0723066958123606,0.0723066958123606,0.401276235332399,0.0711316283404627,0.455769472113906,0.5,0.5,0.256108321696153,0.179676900637959,"No Effect","Type I Error"
"VAST_Selected","real",200,50,1,0.914569200926964,-0.0854307990730363,0.431408741997237,0.0718020516015773,0.427158481846789,0.96,0.3,0.268958674178083,0.183663969452864,"Real Effect","Power"
